THUMB,INDEX,MIDDLE,RING,LITTLE,RESULT
177,7,5,19,2,H
177,7,8,20,3,H
177,7,6,18,4,H
177,11,8,19,4,H
178,7,5,17,2,H
178,7,7,18,3,H
177,7,6,17,2,H
180,10,8,17,1,H
178,7,6,18,3,H
177,11,7,18,0,H
178,7,6,18,3,H
178,11,5,19,0,H
178,11,5,18,0,H
177,7,7,19,4,H
178,7,8,18,1,H
178,7,5,20,2,H
178,11,7,17,0,H
178,7,7,17,4,H
179,7,6,18,2,H
178,7,8,18,3,H
179,7,6,18,2,H
178,7,6,18,3,H
179,7,7,17,2,H
178,7,6,17,3,H
209,2,3,19,5,I
209,3,1,19,5,I
208,3,2,17,6,I
210,1,5,19,6,I
209,3,1,20,5,I
210,4,4,19,6,I
209,3,4,18,6,I
209,3,4,20,5,I
210,3,2,19,6,I
209,1,4,19,5,I
209,3,2,20,6,I
209,2,3,19,6,I
209,2,3,17,6,I
209,1,4,19,6,I
209,2,3,17,6,I
209,2,3,19,6,I
209,1,4,18,5,I
209,2,3,17,5,I
209,3,4,19,6,I
209,3,1,19,5,I
210,4,3,17,7,I
209,3,4,20,5,I
208,6,3,19,6,I
209,2,1,20,3,I
210,4,3,18,6,I
209,2,4,19,5,I
210,6,3,19,7,I
