THUMB,INDEX,MIDDLE,RING,LITTLE,ACCEL_X,ACCEL_Y,ACCEL_Z,GYRO_X,GYRO_Y,GYRO_Z,RESULT
153,238,5,4,32,0.60,8.38,-4.05,-0.16,0.14,0.07,B
153,238,4,4,30,0.29,8.60,-4.01,-0.01,0.18,0.14,B
152,238,6,5,32,1.39,8.67,-3.26,-0.16,0.10,-0.08,B
153,238,5,4,31,0.96,8.41,-4.20,0.04,-0.08,0.01,B
152,238,5,5,30,1.18,8.47,-4.15,-0.01,-0.04,-0.03,B
151,238,4,5,32,0.78,8.42,-3.99,-0.02,-0.02,-0.03,B
152,238,5,5,32,0.84,8.42,-3.94,-0.01,-0.06,-0.04,B
153,239,5,4,31,0.92,8.39,-4.00,-0.04,-0.02,0.04,B
152,239,6,6,32,0.67,8.43,-3.98,0.02,-0.03,-0.01,B
151,238,4,5,32,1.11,8.26,-3.96,0.07,-0.08,-0.01,B
152,238,6,5,30,0.22,8.18,-4.31,0.09,0.08,0.07,B
152,239,4,5,31,0.77,8.13,-4.52,0.10,0.02,-0.03,B
153,238,4,5,31,0.60,8.12,-4.69,0.05,-0.02,-0.02,B
153,238,5,5,32,0.57,8.09,-4.81,-0.02,-0.04,-0.07,B
151,239,6,5,32,0.38,8.02,-4.85,0.04,0.01,-0.04,B
148,238,4,4,30,0.21,8.13,-4.72,-0.09,-0.22,0.08,B
148,238,6,4,30,0.56,8.09,-4.58,-0.23,-0.08,-0.07,B
147,239,7,7,31,0.46,8.12,-4.48,0.07,-0.18,0.07,B
148,238,5,6,30,-0.44,7.79,-4.86,0.02,-0.12,-0.02,B
148,238,4,5,30,0.08,8.06,-4.70,-0.02,-0.01,0.03,B
149,239,6,5,30,-0.01,7.96,-4.79,-0.10,0.03,0.03,B
149,239,5,6,32,0.04,8.06,-4.64,-0.06,-0.01,0.02,B
150,238,5,4,30,-0.16,7.96,-4.74,-0.02,-0.07,0.02,B
150,238,4,5,29,-0.10,7.95,-5.00,0.03,-0.05,-0.00,B
150,238,4,4,30,0.07,8.60,-4.22,-0.19,-0.11,0.03,B
150,237,6,6,30,-0.07,7.95,-4.10,-0.09,-0.09,-0.06,B
150,237,4,5,30,-0.13,8.20,-4.20,-0.06,-0.04,0.11,B
152,238,6,6,30,-0.13,8.16,-4.21,-0.05,-0.01,-0.05,B
150,238,5,6,31,0.23,8.30,-4.03,0.00,0.01,-0.00,B
151,238,5,4,29,-0.18,8.37,-4.26,-0.02,0.02,-0.01,B
151,238,5,6,31,0.11,8.24,-4.15,0.02,0.03,-0.03,B
150,238,5,5,31,0.19,8.17,-4.20,0.02,0.18,-0.19,B
151,239,6,6,31,-0.22,8.29,-4.41,-0.02,0.33,0.01,B
152,238,4,5,30,0.25,8.33,-4.48,0.07,0.09,0.00,B
151,238,4,5,30,0.39,8.17,-4.63,0.01,-0.12,0.06,B
152,237,5,6,31,0.78,8.13,-4.24,-0.02,-0.03,-0.03,B
152,239,5,6,30,0.40,8.10,-4.60,-0.02,0.00,0.05,B
